MANDT,WERKS,LGORT,LGOBE,SPART,XLONG,XBUFX,DISKZ,XBLGO,XRESS,XHUPF,PARLG,VKORG,VTWEG,VSTEL,LIFNR,KUNNR,MESBS,MESST,CONFIGDEPRECATIONCODE,OIH_LICNO,OIG_ITRFL,OIB_TNKASSIGN
900,1710,171A,Std. storage 1,,,X,,,,,,,,,,,,,,,,
900,1710,171B,Std. storage 2,,,X,,,,,,,,,,,,,,,,
900,1710,171C,Raw Materials,,,X,,,,,,,,,,,,,,,,
900,1710,171D,EWM Rec. on Dock,,,,,,,,,,,,,,,,,,,
900,1710,171E,KANBAN,,,,,,,,,,,,,,,,,,,
900,1710,171R,Returns,,,X,,,,,,,,,,,,,,,,
900,1710,171S,EWM Av. for Sale,,,,,,,,,,,,,,,,,,,
900,1720,172A,172a sloc,,,,,,,,,,,,,,,,,,,
900,1900,171A,Std. storage 1,,,X,,,,,,,,,,,,,,,,
900,1900,171B,Std. storage 2,,,X,,,,,,,,,,,,,,,,
900,1900,171C,Raw Materials,,,X,,,,,,,,,,,,,,,,
900,1900,171D,EWM Rec. on Dock,,,,,,,,,,,,,,,,,,,
900,1900,171E,KANBAN,,,,,,,,,,,,,,,,,,,
900,1900,171R,Returns,,,X,,,,,,,,,,,,,,,,
900,1900,171S,EWM Av. for Sale,,,,,,,,,,,,,,,,,,,
